"SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
143.46,143.95,142.58,142.89,124181900,137.16
143.23,144.23,142.77,144.08,107689100,138.31
144.76,145.64,144.66,145.54,108815500,139.71
145.64,146.32,145.42,146.2,128834100,140.34
145.82,146.52,145.33,145.82,148108500,139.98
145.55,145.56,143.05,143.39,185645200,137.64
143.15,143.67,142.28,143.41,125578600,137.66
141.86,142.06,140.83,141.42,192056300,135.75
141.93,142.1,140.8,141.02,120179400,135.37
142.02,142.28,140.57,141.43,134457400,135.76
141.3,141.84,140.39,141.35,146023500,135.68
141.85,142.03,140.68,141.35,103438500,135.68
141.65,143.01,141.52,142.83,100995600,137.11
143.68,143.72,141.41,141.56,137702200,135.89
141.35,142.17,140.93,141.85,98378500,136.16
142.28,143.52,142.13,142.96,107068100,137.23
141.66,141.68,139.06,139.72,264304500,134.12
139.7,140.41,137.93,138.04,181517300,132.51
137.62,139.44,137.55,138.16,201055300,132.62
138.59,138.81,137.96,138.27,97677500,132.73
137.54,139.25,137.36,137.79,123018300,132.27
138.21,138.43,135.62,135.93,191505000,130.48
135.98,136.49,135.18,135.7,178128400,130.26
135.9,136.64,134.7,136.37,239483900,130.9
137.9,139.15,136.41,139.13,151495800,133.55
138.91,139.42,138.08,139.19,119807400,133.61
139.31,139.57,139.03,139.45,81710800,133.86
140.13,141.4,140.04,141.35,65409200,135.68
140.65,141.36,140.19,141.05,100124400,135.4
140.91,141.39,140.24,140.33,128646200,134.71
139.76,141.54,139,141.46,177086500,135.79
141.99,142.51,141.37,142.12,151085900,136.42
142.14,142.42,141.66,142.15,136568300,136.45
142.8,142.92,141.34,141.45,124656300,135.78
141.44,141.87,140.87,141.25,127512200,135.59
141.37,142.16,140.37,141.5,147300500,135.83
141.37,142.04,141.16,141.98,103220600,136.29
142.53,142.69,141.67,142.41,108726400,136.7
142.21,142.81,142.15,142.47,98840700,136.76
143.06,144.11,142.99,143.44,152570400,137.69
144,144.55,143.31,143.51,145880100,137.76
143.42,143.83,142.27,142.63,135715000,136.91
142.32,142.58,141.88,142.1,137701700,136.4
142.47,143.85,142.43,143.77,143238200,138.01
144,145.5,143.79,145.37,177762800,139.54
145.53,145.58,144.24,144.29,150895400,138.51
144.38,145.14,143.98,145.12,168487000,139.3
142.17,144.09,141.94,142.79,245883800,138.04
142.48,142.56,142.19,142.35,53874600,137.61
142.64,142.71,141.35,141.75,106947700,137.03
141.79,142.08,139.92,141.56,167920600,136.85
140.64,141.42,139.87,140.03,148806700,135.37
139.66,142.56,139.54,142.41,243935200,137.67
145.11,146.15,144.73,146.06,192059000,141.2
145.99,146.37,145.34,145.73,144761800,140.88
145.97,146.61,145.67,146.37,116817700,141.5
145.85,146.11,145.43,145.97,110002500,141.11
145.71,145.91,144.98,145.55,121265100,140.71
145.87,146.32,145.64,145.92,90745600,141.06
146.73,147.09,145.97,147.08,130735400,142.19
147.04,147.15,146.61,147.07,113917300,142.18
146.89,147.07,146.43,146.97,89567200,142.08
146.29,147.21,146.2,147.07,93172600,142.18
146.77,147.28,146.61,147.05,104849500,142.16
147.7,148.42,147.15,148,133833500,143.08
147.97,148.49,147.43,148.33,169906000,143.39
148.33,149.13,147.98,149.13,111797300,144.17
149.13,149.5,148.86,149.37,104596100,144.4
149.15,150.14,149.01,149.41,146426400,144.44
149.88,150.25,149.37,150.25,147211600,145.25
150.29,150.33,149.51,150.07,113357700,145.08
149.77,150.85,149.67,150.66,105694400,145.65
150.64,150.94,149.93,150.07,137447700,145.08
149.89,150.38,149.6,149.7,108975800,144.72
150.65,151.42,150.39,151.24,131173000,146.21
150.32,151.27,149.43,149.54,159073600,144.56
150.35,151.48,150.29,151.05,113912400,146.02
150.52,151.26,150.41,151.16,138762800,146.13
151.21,151.35,149.86,150.96,162490000,145.94
151.22,151.89,151.22,151.8,103133700,146.75
151.74,151.9,151.39,151.77,73775000,146.72
151.78,152.3,151.61,152.02,65392700,146.96
152.33,152.61,151.72,152.15,82322600,147.09
151.69,152.47,151.52,152.29,80834300,147.22
152.43,152.59,151.55,152.11,215226500,147.05
152.37,153.28,152.16,153.25,95105400,148.15
153.14,153.19,151.26,151.34,160574800,146.3
150.96,151.42,149.94,150.42,183257000,145.41
151.15,151.89,150.49,151.89,106356600,146.84
152.63,152.86,149,149,245824800,144.04
149.72,150.2,148.73,150.02,186596200,145.03
149.89,152.33,149.76,151.91,150781900,146.86
151.9,152.87,151.41,151.61,126866000,146.57
151.09,152.34,150.41,152.11,170634800,147.05
151.76,152.92,151.52,152.92,99010200,147.83
153.66,154.7,153.64,154.29,121431900,149.16
154.84,154.92,154.16,154.5,94469900,149.36
154.7,154.98,154.52,154.78,86101400,149.63
155.46,155.65,154.66,155.44,123477800,150.27
155.32,156.04,155.13,156.03,83746800,150.84
155.92,156.1,155.21,155.68,105755800,150.5
155.76,156.12,155.23,155.9,92550900,150.71
156.31,156.8,155.91,156.73,126329900,151.52
155.85,156.04,155.31,155.83,138601100,151.32
154.34,155.64,154.2,154.97,126704300,150.48
155.3,155.51,153.59,154.61,167567300,150.13
155.52,155.95,155.26,155.69,113759300,151.18
154.76,155.64,154.1,154.36,128605000,149.89
154.85,155.6,154.73,155.6,111163600,151.09
156.01,156.27,154.35,154.95,151322300,150.46
155.59,156.23,155.42,156.19,86856600,151.66
155.26,156.24,155,156.19,99950600,151.66
156.09,156.85,155.75,156.67,102932800,152.13
156.59,156.91,155.67,156.05,99194100,151.53
156.61,157.21,156.37,156.82,101504300,152.28
156.91,157.03,154.82,155.23,154167400,150.73
155.43,156.17,155.09,155.86,131885000,151.34
153.95,155.35,153.77,155.16,159666000,150.66
155.27,156.22,154.75,156.21,86571200,151.68
156.5,157.32,155.98,156.75,101922200,152.21
157.17,158.87,157.13,158.67,135711100,154.07
158.7,159.71,158.54,159.19,110142500,154.58
158.68,159.04,157.92,158.8,116359900,154.2
158,158.13,155.1,155.12,217259000,150.63
156.29,157.49,155.91,157.41,147507800,152.85
156.29,156.32,154.28,155.11,226834800,150.62
155.37,155.41,153.55,154.14,167583200,149.67
