Company,Symbol:Sector,NYSE,NASDAQ,,Ticker symbol,Company
Edison International,Utilities,EIX.N,,,EIX,Edison Int'l
Edwards Lifesciences,,EW.N,,,EW,Edwards Lifesciences
Electronic Arts,,,EA.O,,EA,Electronic Arts
EMC,Information Technology,EMC.N,,,EMC,EMC Corp.
Emerson Electric,Industrials,EMR.N,,,EMR,Emerson Electric
ENSCO International,Energy,ESV.N,,,ESV,Ensco plc
Entergy,Utilities,ETR.N,,,ETR,Entergy Corp.
EOG Resources,Energy,EOG.N,,,EOG,EOG Resources
EQT Corporation,,EQT.N,,,EQT,EQT Corporation
Equifax,Industrials,EFX.N,,,EFX,Equifax Inc.
Equity Residential,Financials,EQR.N,,,EQR,Equity Residential
Estee Lauder,Consumer Staples,EL.N,,,EL,Estee Lauder Cos.
Exelon,Utilities,EXC.N,,,EXC,Exelon Corp.
Expedia,Consumer Discretionary,,EXPE.O,,EXPE,Expedia Inc.
Expeditors International,Industrials,,EXPD.O,,EXPD,Expeditors Int'l
Express Scripts,Health Care,,ESRX.O,,ESRX,Express Scripts
Exxon Mobil,Energy,XOM.N,,,XOM,Exxon Mobil Corp.
F5 Networks,,,FFIV.O,,FFIV,F5 Networks
Facebook,,,FB.O,,FB,Facebook
Family Dollar Stores,,FDO.N,,,FDO,Family Dollar Stores
Fastenal Co,,,FAST.O,,FAST,Fastenal Co
FedEx,Industrials,FDX.N,,,FDX,FedEx Corporation
Fidelity National Information Services,Information Technology,FIS.N,,,FIS,Fidelity National Information Services
Fifth Third Bancorp,Financials,,FITB.O,,FITB,Fifth Third Bancorp
First Solar Inc,,,FSLR.O,,FSLR,First Solar Inc
FirstEnergy,Utilities,FE.N,,,FE,FirstEnergy Corp
Fiserv Inc,,,FISV.O,,FISV,Fiserv Inc
FLIR Systems,,,FLIR.O,,FLIR,FLIR Systems
Flowserve Corporation,,FLS.N,,,FLS,Flowserve Corporation
Fluor,Industrials,FLR.N,,,FLR,Fluor Corp.
FMC Corporation,,FMC.N,,,FMC,FMC Corporation
FMC Technologies Inc.,,FTI.N,,,FTI,FMC Technologies Inc.
Ford Motor,Consumer Discretionary,F.N,,,F,Ford Motor
Forest Laboratories,Health Care,,FISV.O,,FRX,Forest Laboratories
"Fossil, Inc.",,,FOSL.O,,FOSL,"Fossil, Inc."
Franklin Resources,Financials,BEN.N,,,BEN,Franklin Resources
Freeport-McMoRan Copper & Gold,Materials,FCX.N,,,FCX,Freeport-McMoran Cp & Gld
Frontier Communications,,,FTR.O,,FTR,Frontier Communications
GameStop Corp.,,GME.N,,,GME,GameStop Corp.
Gannett,Consumer Discretionary,GCI.N,,,GCI,Gannett Co.
Gap (The),,GPS.N,,,GPS,Gap (The)
Garmin Ltd.,,,GRMN.O,,GRMN,Garmin Ltd.
General Dynamics,Industrials,GD,,,GD.N,General Dynamics
General Electric,Industrials,GE,GE.N,,GE,General Electric
General Growth Properties Inc.,,GGP.N,,,GGP,General Growth Properties Inc.
General Mills,Consumer Staples,GIS.N,,,GIS,General Mills
General Motors,Consumer Discretionary,GM.N,,,GM,General Motors
Genuine Parts,Consumer Discretionary,GPC.N,,,GPC,Genuine Parts
Genworth Financial,Financials,GNW.N,,,GNW,Genworth Financial Inc.
Gilead Sciences,Health Care,,GILD.O,,GILD,Gilead Sciences
Goldman Sachs Group,Financials,GS.N,,,GS,Goldman Sachs Group
Goodyear Tire & Rubber,Consumer Discretionary,,GT.O,,GT,Goodyear Tire & Rubber
Google,Information Technology,,GOOGL.O,,GOOG,Google Inc.
Grainger (W.W.) Inc.,,GWW.N,,,GWW,Grainger (W.W.) Inc.
Halliburton,Energy,HAL.N,,,HAL,Halliburton Co.
Harley-Davidson,Consumer Discretionary,HOG.N,,,HOG,Harley-Davidson
Harman International Industries,Consumer Discretionary,HAR.N,,,HAR,Harman Int'l Industries
Harris Corporation,,HRS.N,,,HRS,Harris Corporation
Hartford Financial Services,Financials,HIG.N,,,HIG,Hartford Financial Svc.Gp.
Hasbro,Consumer Discretionary,HAS.N,,,HAS,Hasbro Inc.
HCP Inc.,,HCP.N,,,HCP,HCP Inc.
"Health Care REIT, Inc.",,HCN.N,,,HCN,"Health Care REIT, Inc."
Helmerich & Payne,,HP.N,,,HP,Helmerich & Payne
Hess,Energy,HES.N,,,HES,Hess Corporation
Hewlett-Packard,Information Technology,HPQ.N,,,HPQ,Hewlett-Packard
Home Depot,Consumer Discretionary,HD.N,,,HD,Home Depot
Honeywell,Industrials,HON.N,,,HON,Honeywell Int'l Inc.
Hormel Foods Corp.,,HRL.N,,,HRL,Hormel Foods Corp.
Hospira,Health Care,HSP.N,,,HSP,Hospira Inc.
Host Hotels & Resorts,Financials,HST.N,,,HST,Host Hotels & Resorts
Hudson City Bancorp,Financials,HCBK.N,,,HCBK,Hudson City Bancorp
Humana,Health Care,HUM.N,,,HUM,Humana Inc.
